FrameID	Timestamp(s)	Delta(ms)	LocalDelta(ms)	Irregular?
311990	1299.958333	4.166667	2.115509	
311991	1299.962500	4.166667	1.268358	
311992	1299.966667	4.166667	1.287701	
311993	1299.970833	4.166667	1.509160	
311994	1299.975000	4.166667	2.271043	
311995	1299.979167	4.166667	1.422313	
311996	1299.983333	4.166667	1.161773	
311997	1299.987500	4.166667	1.151115	
311998	1299.991667	4.166667	1.282174	
311999	1299.995833	4.166667	1.320071	
312000	1300.000000	4.166667	1.544688	
312001	1300.004167	4.166667	2.382365	
312002	1300.008333	4.166667	1.642194	
312003	1300.012500	4.166667	1.411655	
312004	1300.016667	4.166667	1.860100	
312005	1300.020833	4.166667	2.156958	
312006	1300.025000	4.166667	1.858126	
312007	1300.029167	4.166667	1.198880	
312008	1300.033333	4.166667	1.175984	
312009	1300.037500	4.166667	1.042556	
312010	1300.041667	4.166667	1.075716	
312011	1300.045833	4.166667	2.503556	
312012	1300.050000	4.166667	1.602323	
312013	1300.054167	4.166667	1.230461	
312014	1300.058333	4.166667	1.123876	
312015	1300.062500	4.166667	1.164931	
312016	1300.066667	4.166667	1.147957	
312017	1300.070833	4.166667	1.314150	
312018	1300.075000	4.166667	2.415919	
312019	1300.079167	4.166667	1.986028	
312020	1300.083333	4.166667	1.474027	
312021	1300.087500	4.166667	2.662249	
312022	1300.091667	4.166667	2.218540	
312023	1300.095833	4.166667	1.522187	
312024	1300.100000	4.166667	1.875890	
312025	1300.104167	4.166667	1.987607	
312026	1300.108333	4.166667	1.496133	
312027	1300.112500	4.166667	1.543504	
312028	1300.116667	4.166667	1.036635	
312029	1300.120833	4.166667	0.852677	
312030	1300.125000	4.166667	0.830176	
312031	1300.129167	4.166667	0.888600	
312032	1300.133333	4.166667	1.702986	
312033	1300.137500	4.166667	2.294334	
312034	1300.141667	4.166667	1.193748	
312035	1300.145833	4.166667	1.142825	
312036	1300.150000	4.166667	0.919392	
312037	1300.154167	4.166667	0.973079	
312038	1300.158333	4.166667	1.013739	
312039	1300.162500	4.166667	1.117955	
312040	1300.166667	4.166667	0.850309	
312041	1300.170833	4.166667	0.975842	
312042	1300.175000	4.166667	0.878732	
312043	1300.179167	4.166667	0.952551	
312044	1300.183333	4.166667	0.948604	
312045	1300.187500	4.166667	0.815175	
312046	1300.191667	4.166667	0.898469	
312047	1300.195833	4.166667	1.320071	
312048	1300.200000	4.166667	1.526924	
312049	1300.204167	4.166667	2.178670	
312050	1300.208333	4.166667	1.702986	
312051	1300.212500	4.166667	2.060637	
312052	1300.216667	4.166667	1.963132	
312053	1300.220833	4.166667	0.927287	
312054	1300.225000	4.166667	0.879521	
312055	1300.229167	4.166667	1.054004	
312056	1300.233333	4.166667	0.965184	
312057	1300.237500	4.166667	0.836492	
312058	1300.241667	4.166667	0.967947	
312059	1300.245833	4.166667	2.206303	
312060	1300.250000	4.166667	1.952868	
312061	1300.254167	4.166667	2.152221	
312062	1300.258333	4.166667	1.337835	
312063	1300.262500	4.166667	2.104061	
312064	1300.266667	4.166667	1.215460	
312065	1300.270833	4.166667	0.910312	
312066	1300.275000	4.166667	0.969526	
312067	1300.279167	4.166667	0.945051	
312068	1300.283333	4.166667	0.953341	
312069	1300.287500	4.166667	0.976237	
312070	1300.291667	4.166667	1.239935	
312071	1300.295833	4.166667	2.618036	
312072	1300.300000	4.166667	1.641009	
312073	1300.304167	4.166667	1.617719	
312074	1300.308333	4.166667	1.768121	
312075	1300.312500	4.166667	1.127824	
312076	1300.316667	4.166667	1.224540	
312077	1300.320833	4.166667	0.956894	
312078	1300.325000	4.166667	0.869257	
312079	1300.329167	4.166667	0.956499	
312080	1300.333333	4.166667	1.216250	
312081	1300.337500	4.166667	1.337046	
312082	1300.341667	4.166667	1.115586	
312083	1300.345833	4.166667	2.813046	
312084	1300.350000	4.166667	1.656405	
312085	1300.354167	4.166667	1.769701	
312086	1300.358333	4.166667	1.206775	
312087	1300.362500	4.166667	1.190985	
312088	1300.366667	4.166667	1.907866	
312089	1300.370833	4.166667	0.987290	
312090	1300.375000	4.166667	0.891364	
312091	1300.379167	4.166667	0.831755	
312092	1300.383333	4.166667	1.066242	
312093	1300.387500	4.166667	0.890179	
312094	1300.391667	4.166667	0.885048	
312095	1300.395833	4.166667	0.903996	
312096	1300.400000	4.166667	2.504345	
312097	1300.404167	4.166667	2.393813	
312098	1300.408333	4.166667	1.684038	
312099	1300.412500	4.166667	1.389943	
312100	1300.416667	4.166667	2.026688	
312101	1300.420833	4.166667	1.269147	
312102	1300.425000	4.166667	1.062689	
312103	1300.429167	4.166667	1.014528	
312104	1300.433333	4.166667	1.050057	
312105	1300.437500	4.166667	0.931234	
312106	1300.441667	4.166667	0.860573	
